Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,114.0,114.0,114.0,114.0,114.0,114.0,114.0,125.0,125.0,125.0,125.0,125.0,125.0
Reserves,2501.0,2496.0,2616.0,2666.0,2768.0,2879.0,3022.0,2979.0,2902.0,3250.0,3814.0,4488.0,4581.0
Borrowings +,452.0,418.0,318.0,359.0,502.0,550.0,647.0,510.0,475.0,238.0,199.0,265.0,250.0
Other Liabilities +,637.0,691.0,556.0,540.0,680.0,698.0,658.0,510.0,635.0,782.0,906.0,953.0,941.0
Total Liabilities,3704.0,3719.0,3604.0,3680.0,4064.0,4242.0,4442.0,4125.0,4137.0,4395.0,5045.0,5831.0,5897.0
Fixed Assets +,2711.0,2615.0,2230.0,2092.0,2548.0,2628.0,3007.0,2885.0,2854.0,2871.0,2885.0,3143.0,3178.0
CWIP,50.0,93.0,115.0,321.0,148.0,79.0,130.0,169.0,55.0,96.0,170.0,308.0,403.0
Investments,247.0,254.0,301.0,288.0,327.0,428.0,459.0,411.0,365.0,384.0,448.0,548.0,542.0
Other Assets +,697.0,757.0,958.0,979.0,1042.0,1107.0,846.0,659.0,863.0,1044.0,1542.0,1833.0,1773.0
Total Assets,3704.0,3719.0,3604.0,3680.0,4064.0,4242.0,4442.0,4125.0,4137.0,4395.0,5045.0,5831.0,5897.0
Net Worth,2615.0,2610.0,2730.0,2780.0,2882.0,2993.0,3136.0,3104.0,3027.0,3375.0,3939.0,4613.0,4706.0
Debt-to-Equity Ratio,0.17,0.16,0.12,0.13,0.17,0.18,0.21,0.16,0.16,0.07,0.05,0.06,0.05
Total Debt Ratio,0.12,0.11,0.09,0.1,0.12,0.13,0.15,0.12,0.11,0.05,0.04,0.05,0.04
Equity Multiplier,1.42,1.42,1.32,1.32,1.41,1.42,1.42,1.33,1.37,1.3,1.28,1.26,1.25
Fixed Assets to Total Assets %,73.2,70.3,61.9,56.8,62.7,62.0,67.7,69.9,69.0,65.3,57.2,53.9,53.9
CWIP to Fixed Assets %,1.8,3.6,5.2,15.3,5.8,3.0,4.3,5.9,1.9,3.3,5.9,9.8,12.7
Working Capital Proxy,60.0,66.0,402.0,439.0,362.0,409.0,188.0,149.0,228.0,262.0,636.0,880.0,832.0
Net Fixed Assets,2761.0,2708.0,2345.0,2413.0,2696.0,2707.0,3137.0,3054.0,2909.0,2967.0,3055.0,3451.0,3581.0
Investments to Total Assets %,6.7,6.8,8.4,7.8,8.0,10.1,10.3,10.0,8.8,8.7,8.9,9.4,9.2
Book Value per Share (Rs),45.88,45.79,47.89,48.77,50.56,52.51,55.02,49.66,48.43,54.0,63.02,73.81,75.3
YoY Asset Growth %,,0.4,-3.1,2.1,10.4,4.4,4.7,-7.1,0.3,6.2,14.8,15.6,1.1
YoY Debt Growth %,,-7.5,-23.9,12.9,39.8,9.6,17.6,-21.2,-6.9,-49.9,-16.4,33.2,-5.7
YoY Net Worth Growth %,,-0.2,4.6,1.8,3.7,3.9,4.8,-1.0,-2.5,11.5,16.7,17.1,2.0
