Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
ROE %,-20.33,-15.58,-7.87,-1.83,2.49,6.81,8.35,-21.81,-3.75,13.19,14.07,18.26
ROA %,-5.63,-3.51,-2.07,-0.53,1.12,3.11,3.18,-6.96,-2.04,7.79,9.03,11.57
ROCE %,-3.53,-0.78,4.0,6.02,6.86,8.87,8.32,-4.88,1.55,13.77,15.48,19.56
Asset Turnover Ratio,0.43,0.42,0.41,0.47,0.44,0.47,0.39,0.14,0.24,0.43,0.46,0.47
Fixed Asset Turnover,0.65,0.67,0.59,0.69,0.67,0.7,0.55,0.19,0.36,0.66,0.73,0.76
DuPont - Net Margin %,-13.18,-8.28,-5.05,-1.14,2.53,6.56,8.16,-50.54,-8.67,18.12,19.65,24.45
DuPont - Asset Turnover,0.43,0.42,0.41,0.47,0.44,0.47,0.39,0.14,0.24,0.43,0.46,0.47
DuPont - Equity Multiplier,3.61,4.44,3.8,3.42,2.23,2.19,2.63,3.13,1.84,1.69,1.56,1.58
Financial Leverage Ratio,3.61,4.44,3.8,3.42,2.23,2.19,2.63,3.13,1.84,1.69,1.56,1.58
