Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,144.0,144.0,144.0,144.0,222.0,222.0,222.0
Reserves,600.0,400.0,213.0,211.0,2433.0,2504.0,2529.0
Borrowings +,1718.0,2208.0,2504.0,2444.0,1332.0,1457.0,1382.0
Other Liabilities +,657.0,300.0,205.0,217.0,287.0,209.0,232.0
Total Liabilities,3118.0,3051.0,3066.0,3016.0,4274.0,4393.0,4365.0
Fixed Assets +,2557.0,2905.0,2830.0,2739.0,3467.0,3633.0,3591.0
CWIP,445.0,0.0,44.0,49.0,54.0,256.0,283.0
Investments,1.0,1.0,1.0,2.0,1.0,2.0,36.0
Other Assets +,116.0,146.0,191.0,226.0,751.0,502.0,456.0
Total Assets,3118.0,3051.0,3066.0,3016.0,4274.0,4393.0,4365.0
Net Worth,744.0,544.0,357.0,355.0,2655.0,2726.0,2751.0
Debt-to-Equity Ratio,2.31,4.06,7.01,6.88,0.5,0.53,0.5
Total Debt Ratio,0.55,0.72,0.82,0.81,0.31,0.33,0.32
Equity Multiplier,4.19,5.61,8.59,8.5,1.61,1.61,1.59
Fixed Assets to Total Assets %,82.0,95.2,92.3,90.8,81.1,82.7,82.3
CWIP to Fixed Assets %,17.4,0.0,1.6,1.8,1.6,7.0,7.9
Working Capital Proxy,-541.0,-154.0,-14.0,9.0,464.0,293.0,224.0
Net Fixed Assets,3002.0,2905.0,2874.0,2788.0,3521.0,3889.0,3874.0
Investments to Total Assets %,0.0,0.0,0.0,0.1,0.0,0.0,0.8
Book Value per Share (Rs),51.67,37.78,24.79,24.65,119.59,122.79,123.92
YoY Asset Growth %,,-2.1,0.5,-1.6,41.7,2.8,-0.6
YoY Debt Growth %,,28.5,13.4,-2.4,-45.5,9.4,-5.1
YoY Net Worth Growth %,,-26.9,-34.4,-0.6,647.9,2.7,0.9
