Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,179.0,194.0,168.0,168.0,236.0,245.0,200.0,215.0,252.0,278.0,221.0,230.0,295.0
Expenses +,107.0,107.0,105.0,108.0,140.0,154.0,137.0,150.0,160.0,161.0,141.0,148.0,168.0
Operating Profit,72.0,87.0,63.0,60.0,97.0,91.0,63.0,64.0,93.0,117.0,80.0,83.0,128.0
OPM %,40.0,45.0,38.0,36.0,41.0,37.0,31.0,30.0,37.0,42.0,36.0,36.0,43.0
Other Income +,19.0,5.0,1.0,0.0,4.0,3.0,5.0,8.0,8.0,9.0,-11.0,1.0,6.0
Interest,67.0,62.0,64.0,68.0,72.0,61.0,28.0,26.0,30.0,24.0,22.0,30.0,22.0
Depreciation,21.0,19.0,19.0,20.0,26.0,26.0,27.0,27.0,28.0,28.0,29.0,30.0,28.0
Profit before tax,3.0,10.0,-19.0,-27.0,3.0,7.0,13.0,20.0,44.0,73.0,18.0,24.0,84.0
Tax %,52.0,-43.0,-43.0,-43.0,-21.0,-581.0,11.0,240.0,25.0,25.0,50.0,29.0,22.0
Net Profit +,1.0,15.0,-11.0,-16.0,4.0,47.0,12.0,-28.0,32.0,55.0,9.0,17.0,65.0
EPS in Rs,,,,-0.91,0.21,2.1,0.52,-1.25,1.46,2.47,0.4,0.76,2.94
EBITDA,72.0,87.0,63.0,60.0,97.0,91.0,63.0,64.0,93.0,117.0,80.0,83.0,128.0
EBITDA Margin %,40.2,44.8,37.5,35.7,41.1,37.1,31.5,29.8,36.9,42.1,36.2,36.1,43.4
Net Profit Margin %,0.6,7.7,-6.5,-9.5,1.7,19.2,6.0,-13.0,12.7,19.8,4.1,7.4,22.0
Interest Coverage Ratio,1.07,1.4,0.98,0.88,1.35,1.49,2.25,2.46,3.1,4.88,3.64,2.77,5.82
QoQ Sales Growth %,,8.4,-13.4,0.0,40.5,3.8,-18.4,7.5,17.2,10.3,-20.5,4.1,28.3
QoQ Net Profit Growth %,,1400.0,-173.3,-45.5,125.0,1075.0,-74.5,-333.3,214.3,71.9,-83.6,88.9,282.4
QoQ Operating Profit Growth %,,20.8,-27.6,-4.8,61.7,-6.2,-30.8,1.6,45.3,25.8,-31.6,3.8,54.2
YoY Sales Growth %,,,,,31.8,26.3,19.0,28.0,6.8,13.5,10.5,7.0,17.1
YoY Net Profit Growth %,,,,,300.0,213.3,209.1,-75.0,700.0,17.0,-25.0,160.7,103.1
Trailing 4Q Sales,,,,709.0,766.0,817.0,849.0,896.0,912.0,945.0,966.0,981.0,1024.0
Trailing 4Q Net Profit,,,,-11.0,-8.0,24.0,47.0,35.0,63.0,71.0,68.0,113.0,146.0
