Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,776.0,778.0,781.0,786.0,789.0,790.0,790.0,791.0,792.0,792.0,792.0,792.0
Reserves,34.0,30.0,27.0,28.0,86.0,199.0,127.0,40.0,62.0,175.0,372.0,445.0
Borrowings +,571.0,625.0,799.0,1011.0,1196.0,2017.0,2159.0,2128.0,2177.0,2336.0,2148.0,2059.0
Other Liabilities +,515.0,572.0,604.0,632.0,701.0,756.0,738.0,674.0,698.0,725.0,763.0,824.0
Total Liabilities,1896.0,2004.0,2212.0,2458.0,2772.0,3763.0,3815.0,3633.0,3729.0,4028.0,4075.0,4120.0
Fixed Assets +,1236.0,1231.0,1418.0,1460.0,1604.0,3307.0,3194.0,3051.0,2957.0,3641.0,3556.0,3525.0
CWIP,167.0,259.0,351.0,559.0,664.0,190.0,242.0,297.0,482.0,25.0,59.0,61.0
Investments,31.0,6.0,6.0,15.0,35.0,14.0,6.0,10.0,6.0,13.0,45.0,76.0
Other Assets +,462.0,508.0,436.0,425.0,469.0,252.0,374.0,276.0,284.0,348.0,415.0,459.0
Total Assets,1896.0,2004.0,2212.0,2458.0,2772.0,3763.0,3815.0,3633.0,3729.0,4028.0,4075.0,4120.0
Net Worth,810.0,808.0,808.0,814.0,875.0,989.0,917.0,831.0,854.0,967.0,1164.0,1237.0
Debt-to-Equity Ratio,0.7,0.77,0.99,1.24,1.37,2.04,2.35,2.56,2.55,2.42,1.85,1.66
Total Debt Ratio,0.3,0.31,0.36,0.41,0.43,0.54,0.57,0.59,0.58,0.58,0.53,0.5
Equity Multiplier,2.34,2.48,2.74,3.02,3.17,3.8,4.16,4.37,4.37,4.17,3.5,3.33
Fixed Assets to Total Assets %,65.2,61.4,64.1,59.4,57.9,87.9,83.7,84.0,79.3,90.4,87.3,85.6
CWIP to Fixed Assets %,13.5,21.0,24.8,38.3,41.4,5.7,7.6,9.7,16.3,0.7,1.7,1.7
Working Capital Proxy,-53.0,-64.0,-168.0,-207.0,-232.0,-504.0,-364.0,-398.0,-414.0,-377.0,-348.0,-365.0
Net Fixed Assets,1403.0,1490.0,1769.0,2019.0,2268.0,3497.0,3436.0,3348.0,3439.0,3666.0,3615.0,3586.0
Investments to Total Assets %,1.6,0.3,0.3,0.6,1.3,0.4,0.2,0.3,0.2,0.3,1.1,1.8
Book Value per Share (Rs),10.44,10.39,10.35,10.36,11.09,12.52,11.61,10.51,10.78,12.21,14.7,15.62
YoY Asset Growth %,,5.7,10.4,11.1,12.8,35.8,1.4,-4.8,2.6,8.0,1.2,1.1
YoY Debt Growth %,,9.5,27.8,26.5,18.3,68.6,7.0,-1.4,2.3,7.3,-8.0,-4.1
YoY Net Worth Growth %,,-0.2,0.0,0.7,7.5,13.0,-7.3,-9.4,2.8,13.2,20.4,6.3
