Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,290,368,412,484,550,669,252,402,875,1071,1286,1407
Expenses +,239,268,295,348,381,429,194,283,427,548,652,728
Operating Profit,51,100,117,136,169,241,57,119,448,523,634,679
OPM %,18%,27%,28%,28%,31%,36%,23%,30%,51%,49%,49%,48%
Other Income +,13,5,12,13,15,11,22,22,10,13,13,-25
Interest,72,72,78,78,85,162,190,181,182,208,211,176
Depreciation,52,52,51,53,54,92,108,104,97,112,139,138
Profit before tax,-60,-19,-0,18,45,-2,-219,-145,178,216,296,340
Tax %,5%,35%,1452%,21%,-25%,499%,-15%,-5%,21%,16%,18%,
Net Profit +,-63,-26,-5,15,56,-13,-187,-137,141,182,243,280
EPS in Rs,-0.81,-0.35,-0.08,0.18,0.67,-0.12,-1.60,-1.10,1.45,1.87,2.48,2.78
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,

Additional Metrics,Value
Compounded Sales Growth (10 Years:),16%
Compounded Sales Growth (5 Years:),14%
Compounded Sales Growth (3 Years:),47%
Compounded Sales Growth (TTM:),14%
Compounded Profit Growth (10 Years:),18%
Compounded Profit Growth (5 Years:),207%
Compounded Profit Growth (3 Years:),62%
Compounded Profit Growth (TTM:),34%
Stock Price CAGR (10 Years:),%
Stock Price CAGR (5 Years:),29%
Stock Price CAGR (3 Years:),14%
Stock Price CAGR (1 Year:),-18%
Return on Equity (10 Years:),3%
Return on Equity (5 Years:),5%
Return on Equity (3 Years:),16%
Return on Equity (Last Year:),18%
